Country,Sub-commodity,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,,,,,,,,,,,0,
Brazil,Monazite                                          ,0,0,0,731,958,958,1173,834,303,249,290
China,,80600,88000,92000,98300,119000,133000,120000,125000,129000,120000,105000
India,Monazite                                          ,2651,2856,2891,149,93,45,35,22,16,,
Malaysia,Monazite                                          ,643,441,795,1683,320,894,682,233,25,622,571
Malaysia,Xenotime                                          ,,0,,,,,0,0,0,110,208
Russia,Loparite,,,,,,,,,6628,5120,6226
USA,Bastnaesite                                       ,5000,5000,0,0,0,0,,0,0,0,0
