wkt_geom,DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
Point (-75.39972222220274034 44.25194444468041866),Balmat-Edwards,Gallium,Ga in Clastic-dominated Pb-Zn,44.25194444,-75.39972222,United States of America,New York
Point (10.21515833339043411 5.68065555530967004),Bamboutos Mount,Gallium,Ga in Bauxite,5.680655555,10.21515833,Cameroon,
Point (-67.22193000006939201 44.9656000001399434),Barrett,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.9656,-67.22193,United States of America,Maine
Point (86.09507500021112492 55.54300833376765922),Barzas,Gallium,Ga in Bauxite,55.54300833,86.095075,Russia,
Point (-147.9033330001178399 60.05833299996800179),Beatson,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",60.058333,-147.903333,United States of America,Alaska
Point (78.14452777773482239 11.74665833331545173),Belgaum,Gallium,Ga in Bauxite,11.74665833,78.14452778,India,
Point (43.20978333343413169 53.01426666627367013),Belinsky,Gallium,Ga in Bauxite,53.01426667,43.20978333,Russia,
Point (83.34286388845777083 54.6625249999288485),Berdsk-Maisy,Gallium,Ga in Bauxite,54.662525,83.34286389,Russia,
Point (-55.63333299961817602 49.8833329996182897),Betts Cove,Gallium,"Ga in Volcanogenic Massive Sulfide, Cypress type",49.883333,-55.633333,Canada,
Point (21.24690600021176579 44.71685900024272087),Biela Lipa,Gallium,Ga in Bauxite,44.716859,21.246906,Serbia,
Point (-121.43138899970256261 39.69166699963238898),Big Bend,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",39.691667,-121.431389,United States of America,California
Point (-67.21111100027241037 44.96527799967998362),Big Hill,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.965278,-67.211111,United States of America,Maine
Point (-117.5569439997657355 40.54222200014521604),Big Mike,Gallium,"Ga in Volcanogenic Massive Sulfide, Cypress type",40.542222,-117.556944,United States of America,Nevada
Point (18.8019444442807071 -29.25722222232764125),Big Syncline,Gallium,Ga in Clastic-dominated Pb-Zn,-29.25722222,18.80194444,South Africa,
Point (82.20245277807327966 22.09389722217912322),Bilaspur,Gallium,Ga in Bauxite,22.09389722,82.20245278,India,
Point (-112.19388900017719379 34.45583299969325708),Binghampton,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",34.455833,-112.193889,United States of America,Arizona
Point (104.54626666667337531 0.78163055520599301),Bintan Island,Gallium,Ga in Bauxite,0.781630555,104.5462667,Indonesia,
Point (-51.28277799980480722 71.13277799990481753),Black Angel,Gallium,Ga in Clastic-dominated Pb-Zn,71.132778,-51.282778,Greenland,
