wkt_geom,DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
Point (-116.24849999967523217 47.53406999963084445),Coeur d'Alene district,Antimony,Simple Sb,47.53407,-116.2485,United States of America,Idaho
Point (14.3354700001404467 49.58199000033829407),Krasna Gora,Antimony,Au-Sb,49.58199,14.33547,Czech Republic,
Point (151.90686999985064176 -30.57138000028675151),Hillgrove,Antimony,Au-Sb,-30.57138,151.90687,Australia,
Point (120.24929000043323413 -21.82987000010035672),Blue Spec,Antimony,Au-Sb,-21.82987,120.24929,Australia,
Point (-135.21665999975914474 60.1833299995798825),Becker Cochrane,Antimony,Simple Sb,60.18333,-135.21666,Canada,
Point (-99.66702999973466603 18.25068000038174887),La Cruz Mine Zone,Antimony,Disseminated Sb,18.25068,-99.66703,Mexico,
Point (-100.94999999960026571 23.54999999980020675),San Jose mines,Antimony,Simple Sb,23.55,-100.95,Mexico,
Point (3.1875000000250111 45.20610999997654744),Brioude-Massiac,Antimony,Simple Sb,45.20611,3.1875,France,
Point (0.95000000000004547 48.41659999979020768),La Lucette,Antimony,Au-Sb,48.4166,0.95,France,
Point (136.92511000042622982 66.46166999987065083),Sentachan,Antimony,Au-Sb,66.46167,136.92511,Russia,
Point (-67.03259000012837987 45.86662999997457746),Lake George,Antimony,Disseminated Sb,45.86663,-67.03259,Canada,
Point (-55.23388499979284916 48.70141200026364459),Beaver Brook (Hunan),Antimony,Simple Sb,48.701412,-55.233885,Canada,
Point (92.91800700002306712 59.86988099960848331),Olympiada,Antimony,Au-Sb,59.869881,92.918007,Russia,
Point (142.52909999966527721 64.34891999975826593),Sarylakh,Antimony,Au-Sb,64.34892,142.5291,Russia,
Point (-157.45400000009988162 68.14999999970029876),Cutaway basin,Barite,Bedded-sedimentary,68.15,-157.454,United States of America,Alaska
Point (-116.69600000039969245 40.58000000029983312),Nevada,Barite,Bedded-sedimentary,40.58,-116.696,United States of America,Nevada
Point (-117.86799999999993815 48.90799999970028011),Flagstaff Mountain,Barite,Bedded-sedimentary,48.908,-117.868,United States of America,Washington
Point (-92.81600000009990481 34.47100000034976119),Ouachita Mountains,Barite,Bedded-sedimentary,34.471,-92.816,United States of America,Arkansas
Point (-129.99999999999994316 63.00000000009998757),Selwyn Basin,Barite,Bedded-sedimentary,63,-130,Canada,
Point (79.32000000039977294 14.01999999960037258),Cuddapah,Barite,Bedded-sedimentary,14.02,79.32,India,
Point (109.16700000024985684 27.14999999980022949),Jiangnan,Barite,Bedded-sedimentary,27.15,109.167,China,
Point (109.99999999970026465 30.00000000039972292),Qinling,Barite,Bedded-sedimentary,30,110,China,
Point (9.03000000039975248 40.22899999985014574),Sardinia,Barite,Bedded-sedimentary,40.229,9.03,Italy,Sardinia
Point (18.78999999960035439 -29.24999999990001243),Aggeneys-Gamsberg,Barite,Bedded-sedimentary,-29.25,18.79,South Africa,
Point (66.66500000014991656 27.05900000044971421),Lasbela-Khuzdar,Barite,Bedded-sedimentary,27.059,66.665,Pakistan,
Point (72.94599999990015249 44.28400000019991012),Chiganak,Barite,Bedded-sedimentary,44.284,72.946,Kazakhstan,
Point (-70.00000000029973535 -36.99999999970020781),Neuquen-Mendoza,Barite,Bedded-sedimentary,-37,-70,Argentina,
Point (-66.99899999975013998 -29.90000000039964334),La Helvecia,Barite,Bedded-sedimentary,-29.9,-66.999,Argentina,
Point (-39.00800000039964743 -13.92399999970018598),Camamu,Barite,Bedded-sedimentary,-13.924,-39.008,Brazil,
Point (-110.13300000034968207 28.83300000024985366),Sonora,Barite,Bedded-sedimentary,28.833,-110.133,Mexico,
Point (99.00899999965031384 18.60500000014991429),Northern Thailand,Barite,Bedded-sedimentary,18.605,99.009,Thailand,
Point (-83.77899999985010027 22.48499999995010512),Gertrudas-Jugua,Barite,Bedded-sedimentary,22.485,-83.779,Cuba,
Point (-82.28000000039963879 33.87499999985016075),Barite Hill,Barite,Bedded-volcanic,33.875,-82.28,United States of America,South Carolina
Point (70.24199999980021403 48.27000000039976157),Zhayrem district,Barite,Bedded-volcanic,48.27,70.242,Kazakhstan,
Point (140.97600000010004351 41.73800000000005639),Kuroko,Barite,Bedded-volcanic,41.738,140.976,Japan,
Point (41.36166700043179389 44.4916669999321357),Madneuli,Barite,Bedded-volcanic,44.491667,41.361667,Russia,
Point (51.76699999985015666 32.84199999990011065),Dorreh Kashan,Barite,Bedded-volcanic,32.842,51.767,Iran,
Point (-9.02199999999993452 31.57600000019988329),Jebel Irhoud,Barite,"Vein, cavity-fill, metasomatic",31.576,-9.022,Morocco,
Point (-2.79999999970016233 32.1999999996003794),Zelmou,Barite,"Vein, cavity-fill, metasomatic",32.2,-2.8,Morocco,
Point (138.69199999970032877 -31.34399999960027117),Flinders Range,Barite,"Vein, cavity-fill, metasomatic",-31.344,138.692,Australia,
Point (1.29700000034978302 46.43499999975023229),Chaillac,Barite,"Vein, cavity-fill, metasomatic",46.435,1.297,France,
Point (105.40299999975025003 19.35299999995010012),Nghe An,Barite,"Vein, cavity-fill, metasomatic",19.353,105.403,Vietnam,
Point (103.97500000005004495 21.98299999955037265),Mau Xe,Barite,"Vein, cavity-fill, metasomatic",21.983,103.975,Vietnam,
Point (31.36800000039977476 38.07599999980021721),Isparta,Barite,"Vein, cavity-fill, metasomatic",38.076,31.368,Turkey,
Point (-90.72418222962613754 38.01214275208639037),Southeast Missouri Barite district,Barite,Residual,38.01214275,-90.72418223,United States of America,Missouri
Point (-84.79799999990001425 34.16100000024988503),Cartersville,Barite,Residual,34.161,-84.798,United States of America,Georgia
Point (5.51666699958241225 23.2833329997181977),Tuareg massif,Beryllium,Non-pegmatite,23.283333,5.516667,Algeria,
Point (-65.00000000039966608 -31.9999999998000817),Sierras Pampeanas,Beryllium,Non-pegmatite,-32,-65,Argentina,
Point (116.0624580000367132 -33.86673299972812856),Greenbushes,Beryllium; Lithium; Niobium and Tantalum; Tin,Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal,-33.866733,116.062458,Australia,
Point (117.34130100024106014 -22.42729000043311771),Brockman,Beryllium,Volcanogenic-hosted Be,-22.42729,117.341301,Australia,
Point (117.46666670030799651 -26.96666670020800893),Poona,Beryllium,Non-pegmatite,-26.9666667,117.4666667,Australia,
Point (119.74351999974828686 -21.17142999979461138),Curlew,Beryllium,Non-pegmatite,-21.17143,119.74352,Australia,
Point (121.12611099992273012 -29.94333300041756729),Menzies,Beryllium,Non-pegmatite,-29.943333,121.126111,Australia,
Point (121.14999999990016022 -30.95000000009986252),Londonderry,Beryllium,Pegmatite,-30.95,121.15,Australia,
Point (130.45000000019990694 -12.95000000009986252),Finniss River,Beryllium,Pegmatite,-12.95,130.45,Australia,
Point (143.23333300011790925 -36.08333300001788757),Wycheproof,Beryllium,Pegmatite,-36.083333,143.233333,Australia,
Point (151.66696440018699832 -30.51434249960664147),Mole Granite,Beryllium,Non-pegmatite,-30.5143425,151.6669644,Australia,
Point (151.68191499967758773 -29.31308899995735828),Torrington,Beryllium,Non-pegmatite,-29.313089,151.681915,Australia,
Point (12.36666700028189325 47.20000000019990694),Habachtal,Beryllium,Non-pegmatite,47.2,12.366667,Austria,
Point (14.99194399971588609 46.83916699955744889),Weinebene,Beryllium,Pegmatite,46.839167,14.991944,Austria,
Point (27.86667000002051964 52.2333300001794214),Diabazovoe,Beryllium,Non-pegmatite,52.23333,27.86667,Belarus,
Point (-62.99999999990001243 -11.00000000039966608),Rondonia,Beryllium,Non-pegmatite,-11,-63,Brazil,
Point (-49.69555999979411354 -14.43333329959205003),Santa Terezinha de Goiás,Beryllium,Non-pegmatite,-14.4333333,-49.69556,Brazil,
Point (-48.41027800032941286 -21.07194400031534087),Taquaral,Beryllium,Pegmatite,-21.071944,-48.410278,Brazil,
Point (-43.95000000019979325 -19.81670000020477573),Minas Gerais,Beryllium,Be Type Rare-Metal Pegmatite,-19.8167,-43.95,Brazil,
Point (-43.4902778000803778 -21.76972220041915307),Humaitá,Beryllium,Pegmatite,-21.7697222,-43.4902778,Brazil,
Point (-42.64112600006478715 -19.52580699989306368),Jaguaraçú,Beryllium,Pegmatite,-19.525807,-42.641126,Brazil,
Point (-41.91055600005933002 -16.77861099979776327),Aracuai,Beryllium,Pegmatite,-16.778611,-41.910556,Brazil,
Point (-41.88999999999992951 -16.80361099974777517),Maxixe,Beryllium,Pegmatite,-16.803611,-41.89,Brazil,
Point (-41.66666699998199874 -14.23333299961819876),Brumado,Beryllium,Non-pegmatite,-14.233333,-41.666667,Brazil,
Point (-41.5348000001198443 -18.99629999994499485),Galiléia,Beryllium,Pegmatite,-18.9963,-41.5348,Brazil,
Point (-41.48444399999056031 -18.90083299964317121),Sapucaia,Beryllium,Pegmatite,-18.900833,-41.484444,Brazil,
Point (-41.45999999960025661 -19.02305599993439955),Lavra do Urucum,Beryllium,Pegmatite,-19.023056,-41.46,Brazil,
Point (-40.81080000001992403 -10.31009999991499626),Socotó,Beryllium,Non-pegmatite,-10.3101,-40.8108,Brazil,
Point (-40.58227199965301679 -10.39784999957777245),Carnaiba,Beryllium,Non-pegmatite,-10.39785,-40.582272,Brazil,
Point (23.54999999980020675 42.13330000009500509),Rila Mountains,Beryllium,Pegmatite,42.1333,23.55,Bulgaria,
Point (-131.60000000039968882 59.99999999980019538),Logtung,Beryllium,Non-pegmatite,60,-131.6,Canada,
Point (-130.77388900027710861 61.69138900040212548),Finlayson Lake,Beryllium,Non-pegmatite,61.691389,-130.773889,Canada,
Point (-114.39750000042465672 62.44222200044504234),Yellowknife field,Beryllium,Pegmatite,62.442222,-114.3975,Canada,
Point (-113.00135000000244645 62.50012000033780168),FI,Beryllium,Pegmatite,62.50012,-113.00135,Canada,
Point (-100.021785999823976 54.88733599975665811),Violet,Beryllium,Pegmatite,54.887336,-100.021786,Canada,
Point (-95.8360999002901508 56.61529999989511452),High Grade Dyke pegmatite,Beryllium,Pegmatite,56.6153,-95.8360999,Canada,
Point (-95.49999989987543358 50.39189989996049235),Shatford Lake,Beryllium,Pegmatite,50.3918999,-95.4999999,Canada,
Point (-95.43617249976102812 50.4172688000151652),Bernic Lake,Beryllium,Be Type Rare-Metal Pegmatite,50.4172688,-95.4361725,Canada,
Point (-95.38501699963478586 50.41780099991626685),Buck-Coe-Pegli pegmatite,Beryllium,Pegmatite,50.417801,-95.385017,Canada,
Point (-95.26859999998998774 50.35059990016532083),Silver Leaf-Greer Lake,Beryllium,Pegmatite,50.3505999,-95.2686,Canada,
Point (-91.82280000001992448 51.72730000009499918),Yitt pegmatite,Beryllium,Pegmatite,51.7273,-91.8228,Canada,
Point (-86.99997700033827641 49.00001900017679191),Nama Creek,Beryllium,Pegmatite,49.000019,-86.999977,Canada,
Point (-78.5062029995687567 52.20141399965643814),James Bay (Lithium One),Beryllium,Be Type Rare-Metal Pegmatite,52.201414,-78.506203,Canada,
Point (-78.34527799967992223 48.42694400016551981),Height of Land Mine,Beryllium,Pegmatite,48.426944,-78.345278,Canada,
Point (-77.8091670000569593 48.41083300004299872),Québec Lithium,Beryllium,Pegmatite,48.410833,-77.809167,Canada,
Point (-77.37833299986800739 45.31416699990717234),Beryl Pit,Beryllium,Pegmatite,45.314167,-77.378333,Canada,
Point (-76.41629000038318509 44.58330900011031872),Matthews Yankee,Beryllium,Pegmatite,44.583309,-76.41629,Canada,
Point (-73.14166700003198684 45.56277800010468582),Mont Saint-Hilaire,Beryllium,Non-pegmatite,45.562778,-73.141667,Canada,
Point (-66.46191640042150084 46.5653163004070052),New Brunswick,Beryllium,Non-pegmatite,46.5653163,-66.4619164,Canada,
Point (-63.74431099955296531 44.68198659990173383),Nova Scotia,Beryllium,Non-pegmatite,44.6819866,-63.744311,Canada,
Point (-63.13107040007884052 46.23824000027582315),Prince Edward Island,Beryllium,Non-pegmatite,46.23824,-63.1310704,Canada,
Point (-62.38333299961817602 54.23333299991804779),Mann #1,Beryllium,Non-pegmatite,54.233333,-62.383333,Canada,
Point (-62.38333299961817602 54.23333299991804779),Seal Lake,Beryllium,Peralkaline intrusion Be,54.233333,-62.383333,Canada,
Point (-61.52805599988442964 56.5222220000453035),Nain Complex,Beryllium,Non-pegmatite,56.522222,-61.528056,Canada,
Point (102.21280799978939058 31.9053240002024836),Barkam,Beryllium,Pegmatite,31.905324,102.212808,China,
Point (111.9583329996682437 22.93333300041769007),Jiuquling,Beryllium,Pegmatite,22.933333,111.958333,China,
Point (113.93047000039030081 22.53300999981166797),Nanshan,Beryllium,Pegmatite,22.53301,113.93047,China,
Point (114.22500000024990641 24.80000000000006821),Shirenzhang-Meiziwo,Beryllium,Pegmatite,24.8,114.225,China,
Point (114.80000000000006821 30.4500000003997684),Huanggang,Beryllium,Pegmatite,30.45,114.8,China,
Point (115.53333299971825454 24.01666700038180124),Baishizhang,Beryllium,Pegmatite,24.016667,115.533333,China,
Point (116.15000000000009095 30.46666700008205453),Huangzhen-Zhujiachong,Beryllium,Pegmatite,30.466667,116.15,China,
Point (116.62638890032758354 23.89111109999731752),Wanfengshan,Beryllium,Non-pegmatite,23.8911111,116.6263889,China,
Point (119.87499999975023002 30.58333300041766734),Shixi,Beryllium,Non-pegmatite,30.583333,119.875,China,
Point (120.47500000034983714 45.45555600000943741),Baerzhe,Beryllium,Non-pegmatite,45.455556,120.475,China,
Point (127.80394000013097866 45.98115000027235055),Dongshanwan,Beryllium,Pegmatite,45.98115,127.80394,China,
Point (-75.77638899975249842 5.50138900010233556),Peñas Blancas,Beryllium,Non-pegmatite,5.501389,-75.776389,Colombia,
Point (-74.10388899967756515 5.53138900040210046),Muzo,Beryllium,Non-pegmatite,5.531389,-74.103889,Colombia,
Point (-73.52277799960495486 4.69916699995712861),Gachalá,Beryllium,Non-pegmatite,4.699167,-73.522778,Colombia,
Point (-73.42805600038406055 4.98333300031777071),Somondoco,Beryllium,Non-pegmatite,4.983333,-73.428056,Colombia,
Point (-73.36888900042697514 4.90361100034743913),Chivor,Beryllium,Non-pegmatite,4.903611,-73.368889,Colombia,
Point (12.8424999999750753 49.48649999987515002),Otov,Beryllium,Pegmatite,49.4865,12.8425,Czech Republic,
Point (13.52017999990709995 49.23106000041872221),Sušice,Beryllium,Pegmatite,49.23106,13.52018,Czech Republic,
Point (14.09515999963434751 48.7224199995833942),Bližná,Beryllium,Pegmatite,48.72242,14.09516,Czech Republic,
Point (15.42280000002006091 49.10779999997009782),Kostelní Vydrí,Beryllium,Pegmatite,49.1078,15.4228,Czech Republic,
Point (15.84026000039875726 49.19383000035429632),Kracovice,Beryllium,Pegmatite,49.19383,15.84026,Czech Republic,
Point (16.27472199972055478 49.44777800025457282),Vežná,Beryllium,Pegmatite,49.447778,16.274722,Czech Republic,
Point (34.77499999985013801 24.70000000019990694),Sekeit,Beryllium,Non-pegmatite,24.7,34.775,Egypt,
Point (-5.70138900040200269 50.1308329998431077),Cornwall,Beryllium,Non-pegmatite,50.130833,-5.701389,England,
Point (21.73398449958506262 61.20235619957901463),Eujaroki,Beryllium,Non-pegmatite,61.2023562,21.7339845,Finland,
Point (22.57444000020586827 60.11222000015294498),Rosendal,Beryllium,Pegmatite,60.11222,22.57444,Finland,
Point (22.72780000016990698 60.16390000018492401),Kimito,Beryllium,Pegmatite,60.1639,22.7278,Finland,
Point (23.62108217959894318 60.72633377028734003),Hirvikallio,Beryllium,Pegmatite,60.72633377,23.62108218,Finland,
Point (23.97686999975076105 61.31508000014196114),Pyörönmaa,Beryllium,Pegmatite,61.31508,23.97687,Finland,
Point (24.06666700028188188 61.46666700018198526),Kangasala,Beryllium,Pegmatite,61.466667,24.066667,Finland,
Point (24.67722200019522916 61.58444399959097382),Viitaniemi,Beryllium,Pegmatite,61.584444,24.677222,Finland,
Point (26.89890860015179896 60.58114990004787614),Kymi,Beryllium,Non-pegmatite,60.5811499,26.8989086,Finland,
Point (8.21666699958240088 48.36666700028189325),Schwarzwald,Beryllium,Non-pegmatite,48.366667,8.216667,Germany,
Point (8.23649999957535783 48.13629999964530271),Triberg,Beryllium,Non-pegmatite,48.1363,8.2365,Germany,
Point (9.18416699980724616 49.96527799958005289),Aschaffenburg,Beryllium,Pegmatite,49.965278,9.184167,Germany,
Point (12.00000000039972292 50.00000000000005684),Fichtelgebirge,Beryllium,Pegmatite,50,12,Germany,
Point (12.45972199997038388 49.65027800002974345),Hagendorf-Süd,Beryllium,Pegmatite,49.650278,12.459722,Germany,
Point (12.88333330019167988 50.96666670010819189),Königshein,Beryllium,Pegmatite,50.9666667,12.8833333,Germany,
Point (12.93111099977289769 50.64861100029747831),Greifenstein,Beryllium,Pegmatite,50.648611,12.931111,Germany,
Point (13.38111099977288632 48.72777800025454553),Tittling,Beryllium,Pegmatite,48.727778,13.381111,Germany,
Point (-48.1755560003091432 61.20611100042236785),Ivigtut,Beryllium,Non-pegmatite,61.206111,-48.175556,Greenland,
Point (-45.99166700033174493 60.97499999965032202),Kvanefjeld,Beryllium,Peralkaline intrusion Be,60.975,-45.991667,Greenland,
Point (76.98333300031777071 8.48333299961831244),Trivandrum,Beryllium,Pegmatite,8.483333,76.983333,India,
Point (8.41388899967762427 46.12888900002735681),Val Vigezzo,Beryllium,Pegmatite,46.128889,8.413889,Italy,
Point (8.5000000001999183 45.91666699978225097),Baveno,Beryllium,Pegmatite,45.916667,8.5,Italy,
Point (8.86666700008203179 45.86666699988217033),Cuasso al Monte,Beryllium,Pegmatite,45.866667,8.866667,Italy,
Point (9.40000000019989557 46.31669999960536188),Chiavenna Mountain,Beryllium,Pegmatite,46.3167,9.4,Italy,
Point (135.19730000019490035 34.69109999966531177),Kobe,Beryllium,Pegmatite,34.6911,135.1973,Japan,
Point (74.05611099992273694 47.98111099987278294),Aqshatau,Beryllium,Skarn and Greisen-Hosted Be-F,47.981111,74.056111,Kazakhstan,
Point (81.58333300011793199 46.16666700018197389),Bota Burum,Beryllium,Pegmatite,46.166667,81.583333,Kazakhstan,
Point (82.17265999955941425 49.68513000014945646),Zhanuzak,Beryllium,Pegmatite,49.68513,82.17266,Kazakhstan,
Point (69.38888900012733529 53.27777800015462617),Kokshetau,Beryllium,Non-pegmatite,53.277778,69.388889,Kazakhstan,
Point (69.41666699958244635 53.33333299991807053),Elenovsk Complex,Beryllium,Non-pegmatite,53.333333,69.416667,Kazakhstan,
Point (72.24999999960033392 47.26666699978227371),Qaraoba,Beryllium,Non-pegmatite,47.266667,72.25,Kazakhstan,
Point (75.13499999995008238 47.01888900022720463),Kounrad,Beryllium,Non-pegmatite,47.018889,75.135,Kazakhstan,
Point (76.48688510036714661 52.68832619999420785),Qatpar,Beryllium,Non-pegmatite,52.6883262,76.4868851,Kazakhstan,
Point (81.45000000009997621 48.1000000001998842),Verkhnee Espe,Beryllium,Non-pegmatite,48.1,81.45,Kazakhstan,
Point (45.87385000017741277 -20.84834999995251792),Ampandramaika pegmatite,Beryllium,Pegmatite,-20.84835,45.87385,Madagascar,
Point (45.95000000000004547 -21.14999999990004653),Bemokto,Beryllium,Pegmatite,-21.15,45.95,Madagascar,
Point (46.07499999975021865 -20.74666699988210894),Ambatovita,Beryllium,Pegmatite,-20.746667,46.075,Madagascar,
Point (46.53333300001798989 -19.91666700028179093),Anjanabonoina,Beryllium,Rare-metal pegmatite,-19.916667,46.533333,Madagascar,
Point (46.9511109997728795 -19.97861099969782117),Ambatonapetraka (Miandrarivo),Beryllium,Pegmatite,-19.978611,46.951111,Madagascar,
Point (46.95222199974551813 -19.98472200002021282),Antsofimbato,Beryllium,Pegmatite,-19.984722,46.952222,Madagascar,
Point (47.0858000002698418 -21.45359999984009391),Bemasoandrao pegmatite,Beryllium,Pegmatite,-21.4536,47.0858,Madagascar,
Point (47.20000000019990694 -18.66667000022027878),Malakialina,Beryllium,Pegmatite,-18.66667,47.2,Madagascar,
Point (47.54239999976022091 -18.3714000004096647),Madagascar,Beryllium,Non-pegmatite,-18.3714,47.5424,Madagascar,
Point (48.00000000039977976 -18.16667000032020951),Marivolanitra,Beryllium,Pegmatite,-18.16667,48,Madagascar,
Point (48.85510999962684764 -13.15849000001344393),Ambodibonara pegmatite,Beryllium,Pegmatite,-13.15849,48.85511,Madagascar,
Point (91.95083300044268526 48.40861100009760776),Khaldzan-Burgtey,Beryllium,Pegmatite,48.408611,91.950833,Mongolia,
Point (92.92499999965031066 48.53888900042710475),Altai,Beryllium,Non-pegmatite,48.538889,92.925,Mongolia,
Point (96.2572219995956857 46.37277800010468809),Altai #3,Beryllium,Pegmatite,46.372778,96.257222,Mongolia,
Point (102.69332999987966559 49.39499999995007329),Hutag Ull Ord,Beryllium,Pegmatite,49.395,102.69333,Mongolia,
Point (107.57600000029981402 48.15020000032978942),Goricho,Beryllium,Pegmatite,48.1502,107.576,Mongolia,
Point (110.16666699998211243 47.86666700038182398),Undur Tsagaan,Beryllium,Pegmatite,47.866667,110.166667,Mongolia,
Point (111.71666699958240088 46.73333299961831244),Buren-Tsogto Mine,Beryllium,Pegmatite,46.733333,111.716667,Mongolia,
Point (114.66669999970531535 50.09999999980021812),Khukh-Del-Ula,Beryllium,Pegmatite,50.1,114.6667,Mongolia,
Point (115.39999999970029876 45.90000000009996484),Yugozor mine,Beryllium,Pegmatite,45.9,115.4,Mongolia,
Point (34.09417000034528655 -16.32306000011885772),Muambe,Beryllium,Non-pegmatite,-16.32306,34.09417,Mozambique,
Point (15.96667000042020845 -23.63332999957975744),Donkerhoek,Beryllium,Pegmatite,-23.63333,15.96667,Namibia,
Point (8.51083299974317242 17.1616670002319438),Taghouaji,Beryllium,Non-pegmatite,17.161667,8.510833,Niger,
Point (7.72417000034528201 8.52943999985615164),Nasarawa Eggon,Beryllium,Pegmatite,8.52944,7.72417,Nigeria,
Point (8.43999999960033165 10.4400000000999853),Ririwai,Beryllium,Non-pegmatite,10.44,8.44,Nigeria,
Point (8.51667000002055374 9.23332999977969848),Nandu,Beryllium,Pegmatite,9.23333,8.51667,Nigeria,
Point (8.93333299961830107 10.38333300031774797),Saiya-Shokobo,Beryllium,Non-pegmatite,10.383333,8.933333,Nigeria,
Point (9.75000000039972292 9.16666700038183535),Sabon Wana,Beryllium,Pegmatite,9.166667,9.75,Nigeria,
Point (9.84517199968809109 10.30981999979320562),Bauchi,Beryllium,Pegmatite,10.30982,9.845172,Nigeria,
Point (5.74520000017992061 58.73457999986715095),Skarsfjell,Beryllium,Pegmatite,58.73458,5.7452,Norway,
Point (7.84999999970028739 58.59999999990014885),Evje-Iveland,Beryllium,Pegmatite,58.6,7.85,Norway,
Point (8.74999999970026465 59.18333299991809326),Heftetjern,Beryllium,Pegmatite,59.183333,8.75,Norway,
Point (8.79999999960034529 59.14999999970029876),Tørdal district,Beryllium,Pegmatite,59.15,8.8,Norway,
Point (9.2660000000000764 59.13999999990011247),Høydalen,Beryllium,Pegmatite,59.14,9.266,Norway,
Point (9.74729999999505026 59.00049999967529857),Langesundsfjord,Beryllium,Pegmatite,59.0005,9.7473,Norway,
Point (11.2207785995527729 60.39405580043489863),Byrud Minnesund,Beryllium,Non-pegmatite,60.3940558,11.2207786,Norway,
Point (11.23329999979517879 60.31670000040475088),Eidsvoll,Beryllium,Non-pegmatite,60.3167,11.2333,Norway,
Point (13.87638899955271654 66.40416700020693952),Høgtuva Mountain,Beryllium,Pegmatite,66.404167,13.876389,Norway,
Point (71.73926390030879929 33.13079859967569973),Makhad,Beryllium,Non-pegmatite,33.1307986,71.7392639,Pakistan,
Point (71.8333329998181398 35.31666700028188188),Gujar Kili,Beryllium,Non-pegmatite,35.316667,71.833333,Pakistan,
Point (72.28893080021629203 34.79333309974282429),Swat,Beryllium,Non-pegmatite,34.7933331,72.2889308,Pakistan,
Point (72.36669999970530398 34.78330000039477454),Mingora,Beryllium,Non-pegmatite,34.7833,72.3667,Pakistan,
Point (72.44166670035798461 34.83333330039152997),Charbagh,Beryllium,Non-pegmatite,34.8333333,72.4416667,Pakistan,
Point (74.06666700018195115 35.69999999980018401),Stak Nala,Beryllium,Pegmatite,35.7,74.066667,Pakistan,
Point (74.08516649983414482 36.19779360029446025),Khaltaro,Beryllium,Pegmatite,36.1977936,74.0851665,Pakistan,
Point (74.59319210003542366 35.95203499961559146),Gilgit,Beryllium,Non-pegmatite,35.952035,74.5931921,Pakistan,
Point (74.81666699958242361 35.81666700018195115),Shengus,Beryllium,Pegmatite,35.816667,74.816667,Pakistan,
Point (87.99999999960033392 31.0000000001999183),Indus Suture,Beryllium,Non-pegmatite,31,88,China,
Point (-70.23599519662099055 -14.14529187681858957),Macusani,Beryllium,Non-pegmatite,-14.14529188,-70.2359952,Peru,
Point (16.33333300011793199 50.98333300011790925),Strzegom,Beryllium,Pegmatite,50.983333,16.333333,Poland,
Point (-6.73499999975012997 41.76361100024752204),Western Iberia,Beryllium,Non-pegmatite,41.763611,-6.735,Portugal,
Point (31.47777780000552639 61.5750000002498723),Pitkäranta,Beryllium,Non-pegmatite,61.575,31.4777778,Russia,
Point (33.10760000023987004 68.95430000034480145),Murmansk,Beryllium,Pegmatite,68.9543,33.1076,Russia,
Point (33.28333300041771281 68.14999999970029876),Orlinogorski,Beryllium,Non-pegmatite,68.15,33.283333,Russia,
Point (33.88333300011788651 67.61666699958243498),Khibiny,Beryllium,Pegmatite,67.616667,33.883333,Russia,
Point (36.6999999996003794 67.63333300011794336),Western Keivy,Beryllium,Pegmatite,67.633333,36.7,Russia,
Point (41.03398999993862617 44.55981999969327489),Voznesenkoye,Beryllium,Skarn and Greisen-Hosted Be-F,44.55982,41.03399,Russia,
Point (61.46666700018198526 57.00000000039977976),Mursink,Beryllium,Pegmatite,57,61.466667,Russia,
Point (61.56666669960856098 54.08333329969207171),Troitsky,Beryllium,Non-pegmatite,54.0833333,61.5666667,Russia,
Point (61.82667499965157276 57.05364500021664753),Reft River,Beryllium,Non-pegmatite,57.053645,61.826675,Russia,
Point (62.03333299961826697 56.41666700038183535),Boevskoe,Beryllium,Non-pegmatite,56.416667,62.033333,Russia,
Point (65.53333299981812843 57.15000000009996484),Upper Tura River,Beryllium,Pegmatite,57.15,65.533333,Russia,
Point (87.75000000009998757 56.21666670040792724),Marinksy,Beryllium,Non-pegmatite,56.2166667,87.75,Russia,
Point (92.59326580037645726 52.50351179992969719),Ermakovskoe,Beryllium,Non-pegmatite,52.5035118,92.5932658,Russia,
Point (94.45000000019990694 51.71666699988219307),Kyzyl City,Beryllium,Non-pegmatite,51.716667,94.45,Russia,
Point (112.4060528999214057 54.83311460015875127),Buryatia,Beryllium,Non-pegmatite,54.8331146,112.4060529,Russia,
Point (116.29999999970027602 50.52000000039976157),Sherlova Gora,Beryllium,Non-pegmatite,50.52,116.3,Russia,
Point (42.69166699993218117 25.15000000019989557),Baid al Jimalah,Beryllium,Non-pegmatite,25.15,42.691667,Saudi Arabia,
Point (30.6166669997822396 -23.94999999970019644),Gravelotte,Beryllium; Titanium,Non-pegmatite; Sedimentary related,-23.95,30.616667,South Africa,
Point (22.55000000000006821 -29.81670000000497112),Noumas,Beryllium,Pegmatite,-29.8167,22.55,South Africa,
Point (-8.35985000037715054 42.18217999960734232),Franqueira,Beryllium,Non-pegmatite,42.18218,-8.35985,Spain,
Point (-8.35090000043464897 42.59229999964531999),Forcarei,Beryllium,Pegmatite,42.5923,-8.3509,Spain,
Point (-8.1338660004155372 42.57511100017256922),Galicia,Beryllium,Non-pegmatite,42.575111,-8.133866,Spain,
Point (80.40000000039975703 6.66666699998211243),Ratnapura,Beryllium,Non-pegmatite,6.666667,80.4,Sri Lanka,
Point (80.43030000014493908 7.56529999989510316),Sri Lanka,Beryllium,Pegmatite,7.5653,80.4303,Sri Lanka,
Point (80.7847220001202686 7.71500000014992793),Elahera,Beryllium,Non-pegmatite,7.715,80.784722,Sri Lanka,
